technique_id,name,is_subtechnique,platforms,detection_strategies,analytic_count,analytic_platforms,log_sources,data_components
T1055.014,VDSO Hijacking,Yes,Linux,DET0448,1,Linux,auditd:SYSCALL | auditd:file-events | auditd:memprotect | linux:osquery,Module Load | OS API Execution | Process Creation | Process Modification
T1055.015,ListPlanting,Yes,Windows,DET0331,1,Windows,WinEventLog:Sysmon | etw:Microsoft-Windows-Win32k,OS API Execution | Process Access | Process Creation | Process Modification
T1056,Input Capture,No,Linux; Network Devices; Windows; macOS,DET0102,4,Linux; Network Devices; Windows; macOS,NSM:Firewall | NSM:Flow | WinEventLog:Security | WinEventLog:Sysmon | auditd:SYSCALL | macos:osquery | macos:unifiedlog,File Access | File Modification | Network Connection Creation | Network Traffic Content | OS API Execution | Process Access | Process Creation | Process Metadata
T1056.001,Keylogging,Yes,Linux; Network Devices; Windows; macOS,DET0089,4,Linux; Network Devices; Windows; macOS,NSM:Flow | WinEventLog:Security | WinEventLog:Sysmon | WinEventLog:System | auditd:SYSCALL | macos:osquery | macos:unifiedlog | networkdevice:syslog,File Access | Firmware Modification | Network Traffic Content | OS API Execution | Process Access | Process Creation | Process Metadata | Service Creation | Windows Registry Key Modification
T1056.002,GUI Input Capture,Yes,Linux; Windows; macOS,DET0521,3,Linux; Windows; macOS,WinEventLog:PowerShell | WinEventLog:Sysmon | auditd:SYSCALL | linux:cli | macos:osquery | macos:unifiedlog,Command Execution | Process Creation | Script Execution
T1056.003,Web Portal Capture,Yes,Linux; Windows; macOS,DET0480,3,Linux; Windows; macOS,NSM:Flow | WinEventLog:Sysmon | WinEventLog:iis | auditd:SYSCALL | fs:fsusage | macos:unifiedlog,File Creation | File Modification | Network Traffic Content
T1056.004,Credential API Hooking,Yes,Linux; Windows; macOS,DET0139,3,Linux; Windows; macOS,WinEventLog:Sysmon | auditd:SYSCALL | fs:fsusage | macos:osquery | macos:unifiedlog,File Access | Module Load | Process Access | Process Creation | Process Modification
T1057,Process Discovery,No,ESXi; Linux; Network Devices; Windows; macOS,DET0034,5,ESXi; Linux; Network Devices; Windows; macOS,WinEventLog:Security | WinEventLog:Sysmon | auditd:SYSCALL | esxi:auth | esxi:shell | linux:osquery | macos:osquery | macos:unifiedlog | networkdevice:cli | networkdevice:syslog,Command Execution | File Access | Process Access | Process Creation | Process Metadata
T1059,Command and Scripting Interpreter,No,Containers; ESXi; IaaS; Identity Provider; Linux; Network Devices; Office Suite; SaaS; Windows; macOS,DET0516,5,ESXi; Linux; Network Devices; Windows; macOS,WinEventLog:Sysmon | auditd:SYSCALL | esxi:vobd | macos:unifiedlog | networkdevice:cli | networkdevice:syslog,Command Execution | Process Creation | User Account Authentication
T1059.001,PowerShell,Yes,Windows,DET0455,1,Windows,WinEventLog:PowerShell | WinEventLog:Sysmon,Command Execution | Module Load | Process Creation | Process Metadata
T1059.002,AppleScript,Yes,macOS,DET0414,1,macOS,macos:unifiedlog,Process Creation
T1059.003,Windows Command Shell,Yes,Windows,DET0202,1,Windows,EDR:scriptblock | WinEventLog:Security | WinEventLog:Sysmon,Module Load | Process Creation | Script Execution
T1059.004,Unix Shell,Yes,ESXi; Linux; Network Devices; macOS,DET0384,4,ESXi; Linux; Network Devices; macOS,NSM:Flow | auditd:SYSCALL | esxi:auth | esxi:vmkernel | linux:osquery | linux:syslog | macos:osquery | macos:syslog | macos:unifiedlog | networkdevice:syslog,Command Execution | Logon Session Creation | Network Connection Creation | Network Traffic Flow | Process Creation | Script Execution
T1059.005,Visual Basic,Yes,Linux; Windows; macOS,DET0076,3,Linux; Windows; macOS,WinEventLog:Sysmon | auditd:SYSCALL | linux:syslog | macos:osquery | macos:syslog | macos:unifiedlog,Command Execution | Module Load | Process Creation | Script Execution
T1059.006,Python,Yes,ESXi; Linux; Windows; macOS,DET0063,4,ESXi; Linux; Windows; macOS,EDR:hunting | WinEventLog:Sysmon | auditd:SYSCALL | esxi:hostd | esxi:vobd | linux:syslog | macos:osquery | macos:syslog | macos:unifiedlog,Command Execution | Network Traffic Content | Process Creation | Script Execution
T1059.007,JavaScript,Yes,Linux; Windows; macOS,DET0264,3,Linux; Windows; macOS,WinEventLog:Sysmon | auditd:SYSCALL | linux:syslog | m365:defender | macos:osquery | macos:syslog | macos:unifiedlog,Command Execution | Module Load | Process Creation | Script Execution
T1059.008,Network Device CLI,Yes,Network Devices,DET0142,1,Network Devices,NSM:Flow | networkdevice:syslog,Command Execution | Network Traffic Content | User Account Authentication
T1059.009,Cloud API,Yes,IaaS; Identity Provider; Office Suite; SaaS,DET0078,1,IaaS,AWS:CloudTrail | Okta:SystemLog | azure:activity,Cloud Service Modification | Command Execution | User Account Authentication
T1059.010,AutoHotKey & AutoIT,Yes,Windows,DET0332,1,Windows,WinEventLog:Sysmon,File Creation | Process Access | Process Creation
T1059.011,Lua,Yes,Linux; Network Devices; Windows; macOS,DET0101,4,Linux; Network Devices; Windows; macOS,WinEventLog:Sysmon | auditd:SYSCALL | macos:unifiedlog | networkdevice:runtime,Command Execution | File Creation | File Metadata | Process Creation | Script Execution
T1059.012,Hypervisor CLI,Yes,ESXi,DET0558,1,ESXi,esxi:auth | esxi:vmkernel,Command Execution | User Account Authentication
T1059.013,Container CLI/API,Yes,Containers,DET0083,1,Containers,AWS:CloudTrail | auditd:SYSCALL | docker:events | kubernetes:apiserver | kubernetes:audit,Command Execution | Container Creation | Container Start | Pod Creation | Process Creation
T1068,Exploitation for Privilege Escalation,No,Containers; Linux; Windows; macOS,DET0514,4,Containers; Linux; Windows; macOS,WinEventLog:Security | WinEventLog:Sysmon | auditd:SYSCALL | containerd:runtime | macos:endpointsecurity | macos:unifiedlog,Container Enumeration | Driver Load | Logon Session Creation | Logon Session Metadata | Module Load | Process Access | Process Creation
T1069,Permission Groups Discovery,No,Containers; IaaS; Identity Provider; Linux; Office Suite; SaaS; Windows; macOS,DET0179,3,Linux; Windows; macOS,WinEventLog:PowerShell | WinEventLog:Security | auditd:SYSCALL | macos:unifiedlog,Command Execution | Process Creation
T1069.001,Local Groups,Yes,Linux; Windows; macOS,DET0114,3,Linux; Windows; macOS,WinEventLog:Security | auditd:SYSCALL | macos:unifiedlog,Process Creation
T1069.002,Domain Groups,Yes,Linux; Windows; macOS,DET0360,3,Linux; Windows; macOS,NSM:Flow | WinEventLog:PowerShell | WinEventLog:Security | auditd:SYSCALL | linux:syslog | macos:unifiedlog,Command Execution | Network Traffic Content | Process Creation
T1069.003,Cloud Groups,Yes,IaaS; Identity Provider; Office Suite; SaaS,DET0251,3,IaaS; Office Suite; SaaS,AWS:CloudTrail | m365:exchange | m365:sharepoint | saas:salesforce,Command Execution | Group Enumeration | Group Metadata
T1070,Indicator Removal,No,Containers; ESXi; Linux; Network Devices; Office Suite; Windows; macOS,DET0184,6,Containers; ESXi; Linux; Office Suite; Windows; macOS,WinEventLog:Security | WinEventLog:Sysmon | auditd:SYSCALL | docker:daemon | ebpf:syscalls | esxi:hostd | fs:fsusage | linux:cli | m365:exchange | m365:unified | macos:osquery | macos:unifiedlog,Application Log Content | File Deletion | File Metadata | File Modification | Scheduled Job Modification | Windows Registry Key Modification
T1070.003,Clear Command History,Yes,ESXi; Linux; Network Devices; Windows; macOS,DET0165,5,ESXi; Linux; Network Devices; Windows; macOS,WinEventLog:PowerShell | WinEventLog:Security | WinEventLog:Sysmon | auditd:SYSCALL | esxi:shell | fs:fsusage | macos:unifiedlog | networkdevice:syslog,Command Execution | File Deletion | File Modification | Process Creation
T1070.004,File Deletion,Yes,ESXi; Linux; Windows; macOS,DET0140,4,ESXi; Linux; Windows; macOS,WinEventLog:PowerShell | WinEventLog:Security | WinEventLog:Sysmon | auditd:SYSCALL | esxi:shell | fs:fsusage | macos:unifiedlog,Command Execution | File Access | File Deletion | File Modification | Process Creation
T1070.005,Network Share Connection Removal,Yes,Windows,DET0103,1,Windows,NSM:Flow | WinEventLog:PowerShell | WinEventLog:Security | WinEventLog:Sysmon,Command Execution | Logon Session Creation | Network Traffic Content | Process Creation
T1070.006,Timestomp,Yes,ESXi; Linux; Windows; macOS,DET0591,4,ESXi; Linux; Windows; macOS,EDR:file | WinEventLog:Security | WinEventLog:Sysmon | auditd:SYSCALL | esxi:vmkernel | linux:osquery | macos:osquery | macos:unifiedlog,Command Execution | File Access | File Metadata | File Modification | OS API Execution | Process Creation
T1070.007,Clear Network Connection History and Configurations,Yes,Linux; Network Devices; Windows; macOS,DET0049,4,Linux; Network Devices; Windows; macOS,EDR:cli | NSM:Flow | WinEventLog:Security | WinEventLog:Sysmon | auditd:SYSCALL | macos:osquery | macos:unifiedlog | networkdevice:syslog,Command Execution | File Modification | Firewall Rule Modification | Network Traffic Content | Process Creation | Windows Registry Key Modification
T1070.008,Clear Mailbox Data,Yes,Linux; Office Suite; Windows; macOS,DET0266,4,Linux; Office Suite; Windows; macOS,WinEventLog:PowerShell | WinEventLog:Security | WinEventLog:Sysmon | auditd:SYSCALL | m365:exchange | macos:osquery | macos:unifiedlog,Application Log Content | Command Execution | File Deletion | File Modification | Process Creation
T1070.009,Clear Persistence,Yes,ESXi; Linux; Windows; macOS,DET0040,4,ESXi; Linux; Windows; macOS,WinEventLog:Security | WinEventLog:Sysmon | WinEventLog:TaskScheduler | auditd:SYSCALL | esxi:shell | esxi:vmkernel | macos:osquery | macos:unifiedlog,Command Execution | File Deletion | Process Creation | Scheduled Job Creation | User Account Deletion | Windows Registry Key Modification
T1070.010,Relocate Malware,Yes,Linux; Network Devices; Windows; macOS,DET0439,4,Linux; Network Devices; Windows; macOS,WinEventLog:Sysmon | auditd:SYSCALL | macos:osquery | macos:unifiedlog | networkdevice:syslog,Command Execution | File Creation | File Deletion | File Modification
T1071,Application Layer Protocol,No,ESXi; Linux; Network Devices; Windows; macOS,DET0444,4,Linux; Network Devices; Windows; macOS,NSM:Flow | WinEventLog:Sysmon | auditd:SYSCALL | macos:osquery | macos:unifiedlog,Command Execution | Network Connection Creation | Network Traffic Content | Network Traffic Flow | Process Creation
T1071.001,Web Protocols,Yes,ESXi; Linux; Network Devices; Windows; macOS,DET0027,5,ESXi; Linux; Network Devices; Windows; macOS,NSM:Flow | WinEventLog:Sysmon | auditd:SYSCALL | esxi:shell | macos:osquery | macos:unifiedlog,Command Execution | Network Connection Creation | Network Traffic Content | Network Traffic Flow | Process Creation
T1071.002,File Transfer Protocols,Yes,ESXi; Linux; Network Devices; Windows; macOS,DET0416,5,ESXi; Linux; Network Devices; Windows; macOS,NSM:Flow | WinEventLog:Sysmon | auditd:SYSCALL | esxi:shell | macos:osquery | macos:unifiedlog,Command Execution | Network Connection Creation | Network Traffic Content | Network Traffic Flow | Process Creation
T1071.003,Mail Protocols,Yes,Linux; Network Devices; Windows; macOS,DET0135,4,Linux; Network Devices; Windows; macOS,NSM:Flow | WinEventLog:Sysmon | auditd:SYSCALL | macos:osquery | macos:unifiedlog,Network Connection Creation | Network Traffic Content | Network Traffic Flow | Process Creation
T1071.004,DNS,Yes,ESXi; Linux; Network Devices; Windows; macOS,DET0400,5,ESXi; Linux; Network Devices; Windows; macOS,NSM:FLow | NSM:Flow | WinEventLog:Sysmon | auditd:SYSCALL | esxi:syslog | macos:unifiedlog,Network Connection Creation | Network Traffic Content | Network Traffic Flow | Process Creation
T1071.005,Publish/Subscribe Protocols,Yes,Linux; Network Devices; Windows; macOS,DET0002,4,Linux; Network Devices; Windows; macOS,NSM:Flow | WinEventLog:Sysmon | auditd:SYSCALL | macos:osquery | macos:unifiedlog,Network Connection Creation | Network Traffic Content | Network Traffic Flow | Process Creation
T1072,Software Deployment Tools,No,Linux; Network Devices; SaaS; Windows; macOS,DET0223,5,Linux; Network Devices; SaaS; Windows; macOS,AWS:CloudTrail | NSM:Flow | WinEventLog:Application | WinEventLog:Security | auditd:SYSCALL | macos:jamf | macos:unifiedlog | networkdevice:syslog,Application Log Content | Command Execution | Network Traffic Flow | Process Creation
T1074,Data Staged,No,ESXi; IaaS; Linux; Windows; macOS,DET0014,5,ESXi; IaaS; Linux; Windows; macOS,AWS:CloudTrail | WinEventLog:Security | WinEventLog:Sysmon | auditd:SYSCALL | esxi:shell | esxi:vmkernel | gcp:audit | macos:unifiedlog,Cloud Storage Access | Command Execution | File Access | File Creation | Process Creation
T1074.001,Local Data Staging,Yes,ESXi; Linux; Windows; macOS,DET0261,4,ESXi; Linux; Windows; macOS,WinEventLog:Security | WinEventLog:Sysmon | auditd:SYSCALL | esxi:shell | esxi:vmkernel | macos:unifiedlog,Command Execution | File Access | File Creation | Process Creation | Snapshot Creation
T1074.002,Remote Data Staging,Yes,ESXi; IaaS; Linux; Windows; macOS,DET0071,5,ESXi; IaaS; Linux; Windows; macOS,AWS:CloudTrail | AWS:VPCFlowLogs | NSM:Flow | WinEventLog:Microsoft-Windows-SMBClient/Security | WinEventLog:PowerShell | WinEventLog:Sysmon | auditd:SYSCALL | esxi:hostd | esxi:shell | esxi:vmkernel | esxi:vob | macos:unifiedlog,Cloud Storage Access | Command Execution | File Access | File Creation | Network Share Access | Network Traffic Content | Process Creation
T1078,Valid Accounts,No,Containers; ESXi; IaaS; Identity Provider; Linux; Network Devices; Office Suite; SaaS; Windows; macOS,DET0560,5,Containers; Identity Provider; Linux; Windows; macOS,NSM:Connections | WinEventLog:Security | WinEventLog:Sysmon | auditd:SYSCALL | kubernetes:audit | macos:unifiedlog | saas:okta,Logon Session Creation | Logon Session Metadata | Process Creation | User Account Authentication
T1078.001,Default Accounts,Yes,Containers; ESXi; IaaS; Identity Provider; Linux; Network Devices; Office Suite; SaaS; Windows; macOS,DET0465,5,ESXi; Identity Provider; Linux; Network Devices; Windows,AWS:CloudTrail | WinEventLog:Security | auditd:USER_LOGIN | esxi:auth | networkdevice:syslog,Logon Session Creation | Logon Session Metadata | User Account Authentication
T1078.002,Domain Accounts,Yes,ESXi; Linux; Windows; macOS,DET0210,4,ESXi; Linux; Windows; macOS,WinEventLog:Security | WinEventLog:Sysmon | auditd:SYSCALL | esxi:hostd | esxi:vpxd | linux:syslog | macos:unifiedlog,Logon Session Metadata | Network Connection Creation | Process Creation | User Account Authentication
T1078.003,Local Accounts,Yes,Containers; ESXi; Linux; Network Devices; Windows; macOS,DET0407,3,Linux; Windows; macOS,WinEventLog:Security | auditd:USER_LOGIN | linux:auth | macos:unifiedlog,Logon Session Creation | Logon Session Metadata | User Account Authentication
T1078.004,Cloud Accounts,Yes,IaaS; Identity Provider; Office Suite; SaaS,DET0546,4,IaaS; Identity Provider; Office Suite; SaaS,AWS:CloudTrail | azure:signinlogs | gcp:audit | m365:signinlogs | m365:unified | saas:okta,Logon Session Creation | Logon Session Metadata | User Account Authentication
T1080,Taint Shared Content,No,Linux; Office Suite; SaaS; Windows; macOS,DET0471,5,Linux; Office Suite; SaaS; Windows; macOS,NSM:Flow | WinEventLog:Security | WinEventLog:Sysmon | auditd:SYSCALL | fs:fsevents | gcp:workspaceaudit | m365:defender | m365:unified | macos:unifiedlog,File Creation | File Modification | Network Share Access
T1082,System Information Discovery,No,ESXi; IaaS; Linux; Network Devices; Windows; macOS,DET0525,6,ESXi; IaaS; Linux; Network Devices; Windows; macOS,AWS:CloudTrail | WinEventLog:PowerShell | WinEventLog:Security | WinEventLog:Sysmon | auditd:SYSCALL | esxi:vmkernel | macos:unifiedlog | networkdevice:syslog,Command Execution | Instance Enumeration | Process Creation | Windows Registry Key Modification
T1083,File and Directory Discovery,No,ESXi; Linux; Network Devices; Windows; macOS,DET0370,5,ESXi; Linux; Network Devices; Windows; macOS,WinEventLog:Security | WinEventLog:Sysmon | auditd:PATH | auditd:SYSCALL | esxi:hostd | esxi:shell | fs:fsusage | macos:unifiedlog | networkdevice:syslog,Command Execution | File Access | File Creation | Process Creation
T1087,Account Discovery,No,ESXi; IaaS; Identity Provider; Linux; Office Suite; SaaS; Windows; macOS,DET0587,8,ESXi; IaaS; Identity Provider; Linux; Office Suite; SaaS; Windows; macOS,AWS:CloudTrail | WinEventLog:Security | WinEventLog:Sysmon | auditd:SYSCALL | azure:signinlogs | esxi:vpxd | gcp:audit | linux:Sysmon | m365:unified | macos:unifiedlog | saas:okta,Cloud Service Enumeration | Command Execution | File Access | Group Enumeration | Process Creation | Script Execution | User Account Metadata
T1087.001,Local Account,Yes,ESXi; Linux; Windows; macOS,DET0303,4,ESXi; Linux; Windows; macOS,WinEventLog:Sysmon | auditd:PATH | esxi:shell | linux:Sysmon | macos:unifiedlog | vpxd.log,File Access | Process Creation | User Account Metadata
T1087.002,Domain Account,Yes,Linux; Windows; macOS,DET0129,3,Linux; Windows; macOS,NSM:Flow | WinEventLog:PowerShell | WinEventLog:Sysmon | auditd:SYSCALL | linuxsyslog | macos:unifiedlog,Command Execution | Network Traffic Content | Process Creation
T1087.003,Email Account,Yes,Office Suite; Windows,DET0229,2,Office Suite; Windows,WinEventLog:PowerShell | WinEventLog:Sysmon | azure:signinlogs | gcp:audit | m365:unified,Application Log Content | Command Execution | Process Creation | User Account Authentication | User Account Metadata
T1087.004,Cloud Account,Yes,IaaS; Identity Provider; Office Suite; SaaS,DET0386,4,IaaS; Identity Provider; Office Suite; SaaS,AWS:CloudTrail | Google Admin Audit | Microsoft Entra ID Audit Logs | Microsoft Graph API Logs | WinEventLog:PowerShell | azure:activity | azure:signinlogs | m365:defender | saas:okta,Application Log Content | Command Execution | User Account Authentication | User Account Metadata
T1090,Proxy,No,ESXi; Linux; Network Devices; Windows; macOS,DET0445,5,ESXi; Linux; Network Devices; Windows; macOS,NSM:Connections | NSM:Firewall | NSM:Flow | WinEventLog:Sysmon | auditd:SYSCALL | esxi:shell | esxi:vmkernel | macos:unifiedlog | networkdevice:cli,Command Execution | Firewall Rule Modification | Network Connection Creation | Network Traffic Flow | Process Creation
T1090.001,Internal Proxy,Yes,ESXi; Linux; Network Devices; Windows; macOS,DET0075,5,ESXi; Linux; Network Devices; Windows; macOS,Firewall Audit Logs | NSM:Connections | NSM:Flow | WinEventLog:Sysmon | Windows Firewall Log | auditd:SYSCALL | esxi:shell | esxi:vmkernel | macos:osquery | macos:unifiedlog | networkdevice:cli,Command Execution | Firewall Rule Modification | Network Connection Creation | Network Traffic Content | Network Traffic Flow | Process Creation | Service Creation
T1090.002,External Proxy,Yes,ESXi; Linux; Network Devices; Windows; macOS,DET0325,5,ESXi; Linux; Network Devices; Windows; macOS,Firewall Audit Logs | NSM:Flow | WinEventLog:Microsoft-Windows-Windows Defender/Operational | WinEventLog:Sysmon | auditd:SYSCALL | esxi:shell | esxi:vmkernel | macos:osquery | macos:unifiedlog | networkdevice:syslog,Firewall Rule Modification | Network Connection Creation | Network Traffic Content | Network Traffic Flow | Process Creation
T1090.003,Multi-hop Proxy,Yes,ESXi; Linux; Network Devices; Windows; macOS,DET0359,5,ESXi; Linux; Network Devices; Windows; macOS,NSM:Firewall | NSM:Flow | Netfilter/iptables | WinEventLog:Sysmon | auditd:SYSCALL | dns:query | esxi:esxupdate | esxi:vmkernel | macos:osquery | macos:unifiedlog | networkdevice:syslog,Firmware Modification | Network Connection Creation | Network Traffic Content | Network Traffic Flow | Process Creation
T1090.004,Domain Fronting,Yes,ESXi; Linux; Windows; macOS,DET0196,4,ESXi; Linux; Windows; macOS,NSM:Connections | NSM:Firewall | NSM:Flow | WinEventLog:Sysmon | auditd:SYSCALL | esxi:shell | macos:osquery | macos:unifiedlog,Network Connection Creation | Network Traffic Content | Process Creation
T1091,Replication Through Removable Media,No,Windows,DET0301,1,Windows,WinEventLog:Microsoft-Windows-Windows Defender/Operational | WinEventLog:Sysmon | WinEventLog:System,Drive Creation | File Access | File Creation | Process Creation
T1092,Communication Through Removable Media,No,Linux; Windows; macOS,DET0090,3,Linux; Windows; macOS,WinEventLog:Sysmon | WinEventLog:System | auditd:SYSCALL | fs:fsusage | macos:unifiedlog,Drive Creation | File Creation | Process Creation
T1095,Non-Application Layer Protocol,No,ESXi; Linux; Network Devices; Windows; macOS,DET0457,5,ESXi; Linux; Network Devices; Windows; macOS,NSM:Firewall | NSM:Flow | WinEventLog:Sysmon | auditd:SYSCALL | esxi:vmkernel | macos:unifiedlog,Network Connection Creation | Network Traffic Content | Network Traffic Flow
T1098,Account Manipulation,No,Containers; ESXi; IaaS; Identity Provider; Linux; Network Devices; Office Suite; SaaS; Windows; macOS,DET0096,6,ESXi; Identity Provider; Linux; SaaS; Windows; macOS,WinEventLog:Security | WinEventLog:Sysmon | auditd:PATH | auditd:SYSCALL | esxi:vpxa | m365:unified | macos:unifiedlog | saas:okta,Active Directory Object Modification | File Modification | Process Creation | User Account Modification
T1098.001,Additional Cloud Credentials,Yes,IaaS; Identity Provider; SaaS,DET0531,3,IaaS; Identity Provider; SaaS,AWS:CloudTrail | azure:audit | gcp:audit | m365:unified,Active Directory Object Creation | Active Directory Object Modification | User Account Modification
T1098.002,Additional Email Delegate Permissions,Yes,Office Suite; Windows,DET0373,2,Office Suite; Windows,WinEventLog:Security | m365:unified,Application Log Content | Process Creation | User Account Modification
T1098.003,Additional Cloud Roles,Yes,IaaS; Identity Provider; Office Suite; SaaS,DET0277,3,IaaS; Identity Provider; Office Suite,AWS:CloudTrail | m365:audit | m365:unified,User Account Modification
T1098.004,SSH Authorized Keys,Yes,ESXi; IaaS; Linux; Network Devices; macOS,DET0126,5,ESXi; IaaS; Linux; Network Devices; macOS,auditd:SYSCALL | esxi:shell | gcp:audit | macos:auth | macos:unifiedlog | networkdevice:cli,Command Execution | File Modification | Process Creation
T1098.005,Device Registration,Yes,Identity Provider; Windows,DET0036,2,Identity Provider; Windows,ApplicationLog:EntraIDPortal | ApplicationLog:Intune/MDM Logs | WinEventLog:Security | azure:audit,Active Directory Object Creation | Application Log Content | User Account Modification
T1098.006,Additional Container Cluster Roles,Yes,Containers,DET0572,1,Containers,kubernetes:audit,User Account Modification
T1098.007,Additional Local or Domain Groups,Yes,Linux; Windows; macOS,DET0310,3,Linux; Windows; macOS,WinEventLog:Security | auditd:SYSCALL | macos:unifiedlog,User Account Modification
T1102,Web Service,No,ESXi; Linux; Windows; macOS,DET0425,4,ESXi; Linux; Windows; macOS,NSM:Flow | WinEventLog:Sysmon | auditd:SYSCALL | esxi:vmkernel | macos:osquery | macos:unifiedlog | vpxd.log,Network Connection Creation | Network Traffic Content | Network Traffic Flow
T1102.001,Dead Drop Resolver,Yes,ESXi; Linux; Windows; macOS,DET0058,4,ESXi; Linux; Windows; macOS,NSM:Firewall | NSM:Flow | WinEventLog:Sysmon | auditd:SYSCALL | esxi:vobd | etw:Microsoft-Windows-NDIS-PacketCapture | macos:osquery | macos:unifiedlog,Network Connection Creation | Network Traffic Content | Network Traffic Flow
T1102.002,Bidirectional Communication,Yes,ESXi; Linux; Windows; macOS,DET0035,3,Linux; Windows; macOS,NSM:Connections | NSM:Flow | WinEventLog:Sysmon | auditd:SYSCALL | etw:Microsoft-Windows-WinINet | macos:unifiedlog,Network Connection Creation | Network Traffic Content | Network Traffic Flow | Process Creation
T1102.003,One-Way Communication,Yes,ESXi; Linux; Windows; macOS,DET0581,4,ESXi; Linux; Windows; macOS,WinEventLog:Sysmon | auditd:SYSCALL | esxi:hostd | etw:Microsoft-Windows-WinINet | iptables:LOG | macos:endpointsecurity | macos:unifiedlog,Network Connection Creation | Network Traffic Content | Network Traffic Flow | Process Creation
T1104,Multi-Stage Channels,No,ESXi; Linux; Windows; macOS,DET0228,4,ESXi; Linux; Windows; macOS,WinEventLog:Sysmon | auditd:SYSCALL | esxi:cron | esxi:hostd | iptables:LOG | macos:endpointsecurity | macos:unifiedlog,Network Connection Creation | Network Traffic Flow | Process Creation
T1105,Ingress Tool Transfer,No,ESXi; Linux; Network Devices; Windows; macOS,DET0060,5,ESXi; Linux; Network Devices; Windows; macOS,NSM:Flow | WinEventLog:Sysmon | auditd:SYSCALL | esxi:hostd | esxi:vmkernel | iptables:LOG | macos:endpointsecurity | macos:unifiedlog | snmp:syslog,Command Execution | File Creation | Network Connection Creation | Network Traffic Flow | Process Creation
T1106,Native API,No,Linux; Windows; macOS,DET0529,3,Linux; Windows; macOS,WinEventLog:Sysmon | auditd:SYSCALL | macos:endpointsecurity | macos:unifiedlog,Module Load | Process Access | Process Creation
T1110,Brute Force,No,Containers; ESXi; IaaS; Identity Provider; Linux; Network Devices; Office Suite; SaaS; Windows; macOS,DET0463,5,Identity Provider; Linux; SaaS; Windows; macOS,WinEventLog:Security | auditd:USER_LOGIN | azure:signinlogs | m365:unified | macos:unifiedlog,User Account Authentication
T1110.001,Password Guessing,Yes,Containers; ESXi; IaaS; Identity Provider; Linux; Network Devices; Office Suite; SaaS; Windows; macOS,DET0551,6,Identity Provider; Linux; Network Devices; SaaS; Windows; macOS,GCPAuditLogs:login.googleapis.com | WinEventLog:Security | azure:signinlogs | linux:syslog | macos:unifiedlog | networkdevice:syslog,User Account Authentication
T1110.002,Password Cracking,Yes,Identity Provider; Linux; Network Devices; Office Suite; Windows; macOS,DET0105,5,Identity Provider; Linux; Network Devices; Windows; macOS,WinEventLog:Security | WinEventLog:Sysmon | auditd:SYSCALL | azure:signinlogs | linux:syslog | macos:unifiedlog | networkdevice:syslog,File Access | File Creation | Process Access | Process Creation | User Account Authentication
T1110.003,Password Spraying,Yes,Containers; ESXi; IaaS; Identity Provider; Linux; Network Devices; Office Suite; SaaS; Windows; macOS,DET0487,8,Containers; Identity Provider; Linux; Network Devices; Office Suite; SaaS; Windows; macOS,WinEventLog:Security | azure:signinlogs | kubernetes:audit | linux:syslog | m365:exchange | macos:unifiedlog | networkdevice:syslog | saas:auth,User Account Authentication
T1110.004,Credential Stuffing,Yes,Containers; ESXi; IaaS; Identity Provider; Linux; Network Devices; Office Suite; SaaS; Windows; macOS,DET0460,9,Containers; IaaS; Identity Provider; Linux; Network Devices; Office Suite; SaaS; Windows; macOS,AWS:CloudTrail | WinEventLog:Security | azure:signinlogs | kubernetes:apiserver | linux:syslog | m365:exchange | macos:unifiedlog | networkdevice:syslog | saas-app:auth,User Account Authentication
T1111,Multi-Factor Authentication Interception,No,Linux; Windows; macOS,DET0246,3,Linux; Windows; macOS,WinEventLog:Security | WinEventLog:Sysmon | linux:syslog | macos:osquery | macos:unifiedlog,Driver Load | Logon Session Creation | OS API Execution | Process Access | Process Creation | Windows Registry Key Modification
T1112,Modify Registry,No,Windows,DET0280,1,Windows,WinEventLog:Sysmon,Process Creation | Windows Registry Key Modification
T1113,Screen Capture,No,Linux; Windows; macOS,DET0346,3,Linux; Windows; macOS,WinEventLog:Sysmon | auditd:SYSCALL | macos:unifiedlog,Module Load | Process Creation
T1114,Email Collection,No,Linux; Office Suite; Windows; macOS,DET0476,4,Linux; Office Suite; Windows; macOS,WinEventLog:Application | WinEventLog:PowerShell | WinEventLog:Security | WinEventLog:Sysmon | auditd:SYSCALL | azure:ad | linux:osquery | linux:syslog | m365:exchange | m365:unified | macos:endpointsecurity | macos:unifiedlog,Application Log Content | Command Execution | File Access | Logon Session Creation | Network Connection Creation | Network Share Access | Process Creation
T1114.001,Local Email Collection,Yes,Windows,DET0047,1,Windows,WinEventLog:Security | WinEventLog:Sysmon,File Access | File Creation | Network Connection Creation | Process Creation
T1114.002,Remote Email Collection,Yes,Office Suite; Windows,DET0048,2,Office Suite; Windows,WinEventLog:PowerShell | WinEventLog:Sysmon | azure:signinlogs | m365:purview | m365:unified,Application Log Content | Command Execution | Logon Session Creation | Network Connection Creation
T1114.003,Email Forwarding Rule,Yes,Linux; Office Suite; Windows; macOS,DET0576,4,Linux; Office Suite; Windows; macOS,WinEventLog:PowerShell | WinEventLog:Security | auditd:SYSCALL | fs:plist_monitoring | linux:cli | m365:exchange | m365:messagetrace | m365:unified | macos:unifiedlog,Application Log Content | Cloud Service Metadata | Command Execution | File Modification | Process Creation
